period,result_id,outcome_status,human_minutes
baseline,b-0122,ready_to_use,3
baseline,b-0123,ready_to_use,3
baseline,b-0124,ready_to_use,3
baseline,b-0125,ready_to_use,3
baseline,b-0126,ready_to_use,3
baseline,b-0127,ready_to_use,3
baseline,b-0128,ready_to_use,3
baseline,b-0129,ready_to_use,3
baseline,b-0130,ready_to_use,3
baseline,b-0131,ready_to_use,3
baseline,b-0132,ready_to_use,3
baseline,b-0133,ready_to_use,3
baseline,b-0134,ready_to_use,3
baseline,b-0135,ready_to_use,3
baseline,b-0136,ready_to_use,3
baseline,b-0137,ready_to_use,3
baseline,b-0138,ready_to_use,3
baseline,b-0139,ready_to_use,3
baseline,b-0140,ready_to_use,3
baseline,b-0141,ready_to_use,3
baseline,b-0142,ready_to_use,3
baseline,b-0143,ready_to_use,3
baseline,b-0144,ready_to_use,3
baseline,b-0145,ready_to_use,3
baseline,b-0146,ready_to_use,3
baseline,b-0147,ready_to_use,3
baseline,b-0148,ready_to_use,3
baseline,b-0149,ready_to_use,3
baseline,b-0150,ready_to_use,3
baseline,b-0151,ready_to_use,3
baseline,b-0152,ready_to_use,3
baseline,b-0153,ready_to_use,3
baseline,b-0154,ready_to_use,3
baseline,b-0155,ready_to_use,3
baseline,b-0156,ready_to_use,3
baseline,b-0157,ready_to_use,3
baseline,b-0158,ready_to_use,3
baseline,b-0159,ready_to_use,3
baseline,b-0160,ready_to_use,3
baseline,b-0161,ready_to_use,3
baseline,b-0162,ready_to_use,3
baseline,b-0163,ready_to_use,3
baseline,b-0164,ready_to_use,3
baseline,b-0165,ready_to_use,3
baseline,b-0166,ready_to_use,3
baseline,b-0167,ready_to_use,3
baseline,b-0168,ready_to_use,3
baseline,b-0169,ready_to_use,3
baseline,b-0170,ready_to_use,3
baseline,b-0171,ready_to_use,3
baseline,b-0172,ready_to_use,3
baseline,b-0173,ready_to_use,3
baseline,b-0174,ready_to_use,3
baseline,b-0175,ready_to_use,3
baseline,b-0176,ready_to_use,3
baseline,b-0177,ready_to_use,3
baseline,b-0178,ready_to_use,3
baseline,b-0179,ready_to_use,3
baseline,b-0180,ready_to_use,3
baseline,b-0181,ready_to_use,3
baseline,b-0182,ready_to_use,3
baseline,b-0183,ready_to_use,3
baseline,b-0184,ready_to_use,3
baseline,b-0185,ready_to_use,3
baseline,b-0186,ready_to_use,3
baseline,b-0187,ready_to_use,3
baseline,b-0188,ready_to_use,3
baseline,b-0189,ready_to_use,3
baseline,b-0190,ready_to_use,3
baseline,b-0191,ready_to_use,3
baseline,b-0192,ready_to_use,3
baseline,b-0193,ready_to_use,3
baseline,b-0194,ready_to_use,3
baseline,b-0195,ready_to_use,3
baseline,b-0196,ready_to_use,3
baseline,b-0197,ready_to_use,3
baseline,b-0198,ready_to_use,3
baseline,b-0199,ready_to_use,3
baseline,b-0200,ready_to_use,3
baseline,b-0201,ready_to_use,3
baseline,b-0202,ready_to_use,3
baseline,b-0203,ready_to_use,3
baseline,b-0204,ready_to_use,3
baseline,b-0205,ready_to_use,3
baseline,b-0206,ready_to_use,3
baseline,b-0207,ready_to_use,3
baseline,b-0208,ready_to_use,3
baseline,b-0209,ready_to_use,3
baseline,b-0210,ready_to_use,3
baseline,b-0211,ready_to_use,3
baseline,b-0212,ready_to_use,3
baseline,b-0213,ready_to_use,3
baseline,b-0214,ready_to_use,3
baseline,b-0215,ready_to_use,3
baseline,b-0216,ready_to_use,3
baseline,b-0217,ready_to_use,3
baseline,b-0218,ready_to_use,3
baseline,b-0219,ready_to_use,3
baseline,b-0220,ready_to_use,3
baseline,b-0221,ready_to_use,3
baseline,b-0222,ready_to_use,3
baseline,b-0223,ready_to_use,3
baseline,b-0224,ready_to_use,3
baseline,b-0225,ready_to_use,3
baseline,b-0226,ready_to_use,3
baseline,b-0227,ready_to_use,3
baseline,b-0228,ready_to_use,3
baseline,b-0229,ready_to_use,3
baseline,b-0230,ready_to_use,3
baseline,b-0231,ready_to_use,3
baseline,b-0232,ready_to_use,3
baseline,b-0233,ready_to_use,3
baseline,b-0234,ready_to_use,3
baseline,b-0235,ready_to_use,3
baseline,b-0236,ready_to_use,3
baseline,b-0237,ready_to_use,3
baseline,b-0238,ready_to_use,3
baseline,b-0239,ready_to_use,3
baseline,b-0240,ready_to_use,3
baseline,b-0241,ready_to_use,3
baseline,b-0242,ready_to_use,3
baseline,b-0243,ready_to_use,3
baseline,b-0244,ready_to_use,3
baseline,b-0245,ready_to_use,3
baseline,b-0246,ready_to_use,3
baseline,b-0247,ready_to_use,3
baseline,b-0248,ready_to_use,3
baseline,b-0249,ready_to_use,3
baseline,b-0250,ready_to_use,3
baseline,b-0251,ready_to_use,3
baseline,b-0252,ready_to_use,3
baseline,b-0253,ready_to_use,3
baseline,b-0254,ready_to_use,3
baseline,b-0255,ready_to_use,3
baseline,b-0256,ready_to_use,3
baseline,b-0257,ready_to_use,3
baseline,b-0258,ready_to_use,3
baseline,b-0259,ready_to_use,3
baseline,b-0260,ready_to_use,3
baseline,b-0261,ready_to_use,3
baseline,b-0262,ready_to_use,3
baseline,b-0263,ready_to_use,3
baseline,b-0264,ready_to_use,3
baseline,b-0265,ready_to_use,3
baseline,b-0266,ready_to_use,3
baseline,b-0267,ready_to_use,3
baseline,b-0268,ready_to_use,3
baseline,b-0269,ready_to_use,3
baseline,b-0270,ready_to_use,3
baseline,b-0271,ready_to_use,3
baseline,b-0272,ready_to_use,3
baseline,b-0273,ready_to_use,3
baseline,b-0274,ready_to_use,3
baseline,b-0275,ready_to_use,3
baseline,b-0276,ready_to_use,3
baseline,b-0277,ready_to_use,3
baseline,b-0278,ready_to_use,3
baseline,b-0279,ready_to_use,3
baseline,b-0280,ready_to_use,3
baseline,b-0281,ready_to_use,3
baseline,b-0282,ready_to_use,3
baseline,b-0283,ready_to_use,3
baseline,b-0284,ready_to_use,3
baseline,b-0285,ready_to_use,3
baseline,b-0286,ready_to_use,3
baseline,b-0287,ready_to_use,3
baseline,b-0288,ready_to_use,3
baseline,b-0289,ready_to_use,3
baseline,b-0290,ready_to_use,3
baseline,b-0291,ready_to_use,3
baseline,b-0292,ready_to_use,3
baseline,b-0293,ready_to_use,3
baseline,b-0294,ready_to_use,3
baseline,b-0295,ready_to_use,3
baseline,b-0296,ready_to_use,3
baseline,b-0297,ready_to_use,3
baseline,b-0298,ready_to_use,3
baseline,b-0299,ready_to_use,3
baseline,b-0300,ready_to_use,3
baseline,b-0301,ready_to_use,3
baseline,b-0302,ready_to_use,3
baseline,b-0303,ready_to_use,3
baseline,b-0304,ready_to_use,3
baseline,b-0305,ready_to_use,3
baseline,b-0306,ready_to_use,3
baseline,b-0307,ready_to_use,3
baseline,b-0308,ready_to_use,3
baseline,b-0309,ready_to_use,3
baseline,b-0310,ready_to_use,3
baseline,b-0311,ready_to_use,3
baseline,b-0312,ready_to_use,3
baseline,b-0313,ready_to_use,3
baseline,b-0314,ready_to_use,3
baseline,b-0315,ready_to_use,3
baseline,b-0316,ready_to_use,3
baseline,b-0317,ready_to_use,3
baseline,b-0318,ready_to_use,3
baseline,b-0319,ready_to_use,3
baseline,b-0320,ready_to_use,3
baseline,b-0321,ready_to_use,3
baseline,b-0322,ready_to_use,3
baseline,b-0323,ready_to_use,3
baseline,b-0324,ready_to_use,3
baseline,b-0325,ready_to_use,3
baseline,b-0326,ready_to_use,3
baseline,b-0327,ready_to_use,3
baseline,b-0328,ready_to_use,3
baseline,b-0329,ready_to_use,3
baseline,b-0330,ready_to_use,3
baseline,b-0331,ready_to_use,3
baseline,b-0332,ready_to_use,3
baseline,b-0333,ready_to_use,3
baseline,b-0334,ready_to_use,3
baseline,b-0335,ready_to_use,3
baseline,b-0336,ready_to_use,3
baseline,b-0337,ready_to_use,3
baseline,b-0338,ready_to_use,3
baseline,b-0339,ready_to_use,3
baseline,b-0340,ready_to_use,3
baseline,b-0341,ready_to_use,3
baseline,b-0342,ready_to_use,3
baseline,b-0343,ready_to_use,3
baseline,b-0344,ready_to_use,3
baseline,b-0345,ready_to_use,3
baseline,b-0346,ready_to_use,3
baseline,b-0347,ready_to_use,3
baseline,b-0348,ready_to_use,3
baseline,b-0349,ready_to_use,3
baseline,b-0350,ready_to_use,3
baseline,b-0351,ready_to_use,3
baseline,b-0352,ready_to_use,3
baseline,b-0353,ready_to_use,3
baseline,b-0354,ready_to_use,3
baseline,b-0355,ready_to_use,3
baseline,b-0356,ready_to_use,3
baseline,b-0357,ready_to_use,3
baseline,b-0358,ready_to_use,3
baseline,b-0359,ready_to_use,3
baseline,b-0360,ready_to_use,3
baseline,b-0361,ready_to_use,3
baseline,b-0362,ready_to_use,3
baseline,b-0363,ready_to_use,3
baseline,b-0364,ready_to_use,3
baseline,b-0365,ready_to_use,3
baseline,b-0366,ready_to_use,3
baseline,b-0367,ready_to_use,3
baseline,b-0368,ready_to_use,3
baseline,b-0369,ready_to_use,3
baseline,b-0370,ready_to_use,3
baseline,b-0371,ready_to_use,3
baseline,b-0372,ready_to_use,3
baseline,b-0373,ready_to_use,3
baseline,b-0374,ready_to_use,3
baseline,b-0375,ready_to_use,3
baseline,b-0376,ready_to_use,3
baseline,b-0377,ready_to_use,3
baseline,b-0378,ready_to_use,3
baseline,b-0379,ready_to_use,3
baseline,b-0380,ready_to_use,3
baseline,b-0381,ready_to_use,3
baseline,b-0382,ready_to_use,3
baseline,b-0383,ready_to_use,3
baseline,b-0384,ready_to_use,3
baseline,b-0385,ready_to_use,3
baseline,b-0386,ready_to_use,3
baseline,b-0387,ready_to_use,3
baseline,b-0388,ready_to_use,3
baseline,b-0389,ready_to_use,3
baseline,b-0390,ready_to_use,3
baseline,b-0391,ready_to_use,3
baseline,b-0392,ready_to_use,3
baseline,b-0393,ready_to_use,3
baseline,b-0394,ready_to_use,3
baseline,b-0395,ready_to_use,3
baseline,b-0396,ready_to_use,3
baseline,b-0397,ready_to_use,3
baseline,b-0398,ready_to_use,3
baseline,b-0399,ready_to_use,3
baseline,b-0400,ready_to_use,3
baseline,b-0401,ready_to_use,3
baseline,b-0402,ready_to_use,3
baseline,b-0403,ready_to_use,3
baseline,b-0404,ready_to_use,3
baseline,b-0405,ready_to_use,3
baseline,b-0406,ready_to_use,3
baseline,b-0407,ready_to_use,3
baseline,b-0408,ready_to_use,3
baseline,b-0409,ready_to_use,3
baseline,b-0410,ready_to_use,3
baseline,b-0411,ready_to_use,3
baseline,b-0412,ready_to_use,3
baseline,b-0413,ready_to_use,3
baseline,b-0414,ready_to_use,3
baseline,b-0415,ready_to_use,3
baseline,b-0416,ready_to_use,3
baseline,b-0417,ready_to_use,3
baseline,b-0418,ready_to_use,3
baseline,b-0419,ready_to_use,3
baseline,b-0420,ready_to_use,3
baseline,b-0421,ready_to_use,3
baseline,b-0422,ready_to_use,3
baseline,b-0423,ready_to_use,3
baseline,b-0424,ready_to_use,3
baseline,b-0425,ready_to_use,3
baseline,b-0426,ready_to_use,3
baseline,b-0427,ready_to_use,3
baseline,b-0428,ready_to_use,3
baseline,b-0429,ready_to_use,3
baseline,b-0430,ready_to_use,3
baseline,b-0431,ready_to_use,3
baseline,b-0432,ready_to_use,3
baseline,b-0433,ready_to_use,3
baseline,b-0434,ready_to_use,3
baseline,b-0435,ready_to_use,3
baseline,b-0436,ready_to_use,3
baseline,b-0437,ready_to_use,3
baseline,b-0438,ready_to_use,3
baseline,b-0439,ready_to_use,3
baseline,b-0440,ready_to_use,3
baseline,b-0441,ready_to_use,3
baseline,b-0442,ready_to_use,3
baseline,b-0443,ready_to_use,3
baseline,b-0444,ready_to_use,3
baseline,b-0445,ready_to_use,3
baseline,b-0446,ready_to_use,3
baseline,b-0447,ready_to_use,3
baseline,b-0448,ready_to_use,3
baseline,b-0449,ready_to_use,3
baseline,b-0450,ready_to_use,3
baseline,b-0451,ready_to_use,3
baseline,b-0452,ready_to_use,3
baseline,b-0453,ready_to_use,3
baseline,b-0454,ready_to_use,3
baseline,b-0455,ready_to_use,3
baseline,b-0456,ready_to_use,3
baseline,b-0457,ready_to_use,3
baseline,b-0458,ready_to_use,3
baseline,b-0459,ready_to_use,3
baseline,b-0460,ready_to_use,3
baseline,b-0461,ready_to_use,3
baseline,b-0462,ready_to_use,3
baseline,b-0463,ready_to_use,3
baseline,b-0464,ready_to_use,3
baseline,b-0465,ready_to_use,3
baseline,b-0466,ready_to_use,3
baseline,b-0467,ready_to_use,3
baseline,b-0468,ready_to_use,3
baseline,b-0469,ready_to_use,3
baseline,b-0470,ready_to_use,3
baseline,b-0471,ready_to_use,3
baseline,b-0472,ready_to_use,3
baseline,b-0473,ready_to_use,3
baseline,b-0474,ready_to_use,3
baseline,b-0475,ready_to_use,3
baseline,b-0476,ready_to_use,3
baseline,b-0477,ready_to_use,3
baseline,b-0478,ready_to_use,3
baseline,b-0479,ready_to_use,3
baseline,b-0480,ready_to_use,3
baseline,b-0481,ready_to_use,3
baseline,b-0482,ready_to_use,3
baseline,b-0483,ready_to_use,3
baseline,b-0484,ready_to_use,3
baseline,b-0485,ready_to_use,3
baseline,b-0486,ready_to_use,3
baseline,b-0487,ready_to_use,3
baseline,b-0488,ready_to_use,3
baseline,b-0489,ready_to_use,3
baseline,b-0490,ready_to_use,3
baseline,b-0491,ready_to_use,3
baseline,b-0492,ready_to_use,3
baseline,b-0493,ready_to_use,3
baseline,b-0494,ready_to_use,3
baseline,b-0495,ready_to_use,3
baseline,b-0496,ready_to_use,3
baseline,b-0497,ready_to_use,3
baseline,b-0498,ready_to_use,3
baseline,b-0499,ready_to_use,3
baseline,b-0500,ready_to_use,3
baseline,b-0501,ready_to_use,3
baseline,b-0502,ready_to_use,3
baseline,b-0503,ready_to_use,3
baseline,b-0504,ready_to_use,3
baseline,b-0505,ready_to_use,3
baseline,b-0506,ready_to_use,3
baseline,b-0507,ready_to_use,3
baseline,b-0508,ready_to_use,3
baseline,b-0509,ready_to_use,3
baseline,b-0510,ready_to_use,3
baseline,b-0511,ready_to_use,3
baseline,b-0512,ready_to_use,3
baseline,b-0513,ready_to_use,3
baseline,b-0514,ready_to_use,3
baseline,b-0515,ready_to_use,3
baseline,b-0516,ready_to_use,3
baseline,b-0517,ready_to_use,3
baseline,b-0518,ready_to_use,3
baseline,b-0519,ready_to_use,3
baseline,b-0520,ready_to_use,3
baseline,b-0521,ready_to_use,3
baseline,b-0522,ready_to_use,3
baseline,b-0523,ready_to_use,3
baseline,b-0524,ready_to_use,3
baseline,b-0525,ready_to_use,3
baseline,b-0526,ready_to_use,3
baseline,b-0527,ready_to_use,3
baseline,b-0528,ready_to_use,3
baseline,b-0529,ready_to_use,3
baseline,b-0530,ready_to_use,3
baseline,b-0531,ready_to_use,3
baseline,b-0532,ready_to_use,3
baseline,b-0533,ready_to_use,3
baseline,b-0534,ready_to_use,3
baseline,b-0535,ready_to_use,3
baseline,b-0536,ready_to_use,3
baseline,b-0537,ready_to_use,3
baseline,b-0538,ready_to_use,3
baseline,b-0539,ready_to_use,3
baseline,b-0540,ready_to_use,3
baseline,b-0541,ready_to_use,3
baseline,b-0542,ready_to_use,3
baseline,b-0543,ready_to_use,3
baseline,b-0544,ready_to_use,3
baseline,b-0545,ready_to_use,3
baseline,b-0546,ready_to_use,3
baseline,b-0547,ready_to_use,3
baseline,b-0548,ready_to_use,3
baseline,b-0549,ready_to_use,3
baseline,b-0550,ready_to_use,3
baseline,b-0551,ready_to_use,3
baseline,b-0552,ready_to_use,3
baseline,b-0553,ready_to_use,3
baseline,b-0554,ready_to_use,3
baseline,b-0555,ready_to_use,3
baseline,b-0556,ready_to_use,3
baseline,b-0557,ready_to_use,3
baseline,b-0558,ready_to_use,3
baseline,b-0559,ready_to_use,3
baseline,b-0560,ready_to_use,3
baseline,b-0561,ready_to_use,3
baseline,b-0562,ready_to_use,3
baseline,b-0563,ready_to_use,3
baseline,b-0564,ready_to_use,3
baseline,b-0565,ready_to_use,3
baseline,b-0566,ready_to_use,3
baseline,b-0567,ready_to_use,3
baseline,b-0568,ready_to_use,3
baseline,b-0569,ready_to_use,3
baseline,b-0570,ready_to_use,3
baseline,b-0571,ready_to_use,3
baseline,b-0572,ready_to_use,3
baseline,b-0573,ready_to_use,3
baseline,b-0574,ready_to_use,3
baseline,b-0575,ready_to_use,3
baseline,b-0576,ready_to_use,3
baseline,b-0577,ready_to_use,3
baseline,b-0578,ready_to_use,3
baseline,b-0579,ready_to_use,3
baseline,b-0580,ready_to_use,3
baseline,b-0581,ready_to_use,3
baseline,b-0582,ready_to_use,3
baseline,b-0583,ready_to_use,3
baseline,b-0584,ready_to_use,3
baseline,b-0585,ready_to_use,3
baseline,b-0586,ready_to_use,3
baseline,b-0587,ready_to_use,3
baseline,b-0588,ready_to_use,3
baseline,b-0589,ready_to_use,3
baseline,b-0590,ready_to_use,3
baseline,b-0591,ready_to_use,3
baseline,b-0592,ready_to_use,3
baseline,b-0593,ready_to_use,3
baseline,b-0594,ready_to_use,3
baseline,b-0595,ready_to_use,3
baseline,b-0596,ready_to_use,3
baseline,b-0597,ready_to_use,3
baseline,b-0598,ready_to_use,3
baseline,b-0599,ready_to_use,3
baseline,b-0600,ready_to_use,3
baseline,b-0601,ready_to_use,3
baseline,b-0602,ready_to_use,3
baseline,b-0603,ready_to_use,3
baseline,b-0604,ready_to_use,3
baseline,b-0605,ready_to_use,3
baseline,b-0606,ready_to_use,3
baseline,b-0607,ready_to_use,3
baseline,b-0608,ready_to_use,3
baseline,b-0609,ready_to_use,3
baseline,b-0610,ready_to_use,3
baseline,b-0611,ready_to_use,3
baseline,b-0612,ready_to_use,3
baseline,b-0613,ready_to_use,3
baseline,b-0614,ready_to_use,3
baseline,b-0615,ready_to_use,3
baseline,b-0616,ready_to_use,3
baseline,b-0617,ready_to_use,3
baseline,b-0618,ready_to_use,3
baseline,b-0619,ready_to_use,3
baseline,b-0620,ready_to_use,3
baseline,b-0621,ready_to_use,3
baseline,b-0622,ready_to_use,3
baseline,b-0623,ready_to_use,3
baseline,b-0624,ready_to_use,3
baseline,b-0625,ready_to_use,3
baseline,b-0626,ready_to_use,3
baseline,b-0627,ready_to_use,3
baseline,b-0628,ready_to_use,3
baseline,b-0629,ready_to_use,3
baseline,b-0630,ready_to_use,3
baseline,b-0631,ready_to_use,3
baseline,b-0632,ready_to_use,3
baseline,b-0633,ready_to_use,3
baseline,b-0634,ready_to_use,3
baseline,b-0635,ready_to_use,3
baseline,b-0636,ready_to_use,3
baseline,b-0637,ready_to_use,3
baseline,b-0638,ready_to_use,3
baseline,b-0639,ready_to_use,3
baseline,b-0640,ready_to_use,3
baseline,b-0641,ready_to_use,3
baseline,b-0642,ready_to_use,3
baseline,b-0643,ready_to_use,3
baseline,b-0644,ready_to_use,3
baseline,b-0645,ready_to_use,3
baseline,b-0646,ready_to_use,3
baseline,b-0647,ready_to_use,3
baseline,b-0648,ready_to_use,3
baseline,b-0649,ready_to_use,3
baseline,b-0650,ready_to_use,3
baseline,b-0651,ready_to_use,3
baseline,b-0652,ready_to_use,3
baseline,b-0653,ready_to_use,3
baseline,b-0654,ready_to_use,3
baseline,b-0655,ready_to_use,3
baseline,b-0656,ready_to_use,3
baseline,b-0657,ready_to_use,3
baseline,b-0658,ready_to_use,3
baseline,b-0659,ready_to_use,3
baseline,b-0660,ready_to_use,3
baseline,b-0661,ready_to_use,3
baseline,b-0662,ready_to_use,3
baseline,b-0663,ready_to_use,3
baseline,b-0664,ready_to_use,3
baseline,b-0665,ready_to_use,3
baseline,b-0666,ready_to_use,3
baseline,b-0667,ready_to_use,3
baseline,b-0668,ready_to_use,3
baseline,b-0669,ready_to_use,3
baseline,b-0670,ready_to_use,3
baseline,b-0671,ready_to_use,3
baseline,b-0672,ready_to_use,3
baseline,b-0673,ready_to_use,3
baseline,b-0674,ready_to_use,3
baseline,b-0675,ready_to_use,3
baseline,b-0676,ready_to_use,3
baseline,b-0677,ready_to_use,3
baseline,b-0678,ready_to_use,3
baseline,b-0679,ready_to_use,3
baseline,b-0680,ready_to_use,3
baseline,b-0681,ready_to_use,3
baseline,b-0682,ready_to_use,3
baseline,b-0683,ready_to_use,3
baseline,b-0684,ready_to_use,3
baseline,b-0685,ready_to_use,3
baseline,b-0686,ready_to_use,3
baseline,b-0687,ready_to_use,3
baseline,b-0688,ready_to_use,3
baseline,b-0689,ready_to_use,3
baseline,b-0690,ready_to_use,3
baseline,b-0691,ready_to_use,3
baseline,b-0692,ready_to_use,3
baseline,b-0693,ready_to_use,3
baseline,b-0694,ready_to_use,3
baseline,b-0695,ready_to_use,3
baseline,b-0696,ready_to_use,3
baseline,b-0697,ready_to_use,3
baseline,b-0698,ready_to_use,3
baseline,b-0699,ready_to_use,3
baseline,b-0700,ready_to_use,3
baseline,b-0701,ready_to_use,3
baseline,b-0702,ready_to_use,3
baseline,b-0703,ready_to_use,3
baseline,b-0704,ready_to_use,3
baseline,b-0705,ready_to_use,3
baseline,b-0706,ready_to_use,3
baseline,b-0707,ready_to_use,3
baseline,b-0708,ready_to_use,3
baseline,b-0709,ready_to_use,3
baseline,b-0710,ready_to_use,3
baseline,b-0711,ready_to_use,3
baseline,b-0712,ready_to_use,3
baseline,b-0713,ready_to_use,3
baseline,b-0714,ready_to_use,3
baseline,b-0715,ready_to_use,3
baseline,b-0716,ready_to_use,3
baseline,b-0717,ready_to_use,3
baseline,b-0718,ready_to_use,3
baseline,b-0719,ready_to_use,3
baseline,b-0720,ready_to_use,3
baseline,b-0721,ready_to_use,3
baseline,b-0722,ready_to_use,3
baseline,b-0723,ready_to_use,3
baseline,b-0724,ready_to_use,3
baseline,b-0725,ready_to_use,3
baseline,b-0726,ready_to_use,3
baseline,b-0727,ready_to_use,3
baseline,b-0728,ready_to_use,3
baseline,b-0729,ready_to_use,3
baseline,b-0730,ready_to_use,3
baseline,b-0731,ready_to_use,3
baseline,b-0732,ready_to_use,3
baseline,b-0733,ready_to_use,3
baseline,b-0734,ready_to_use,3
baseline,b-0735,ready_to_use,3
baseline,b-0736,ready_to_use,3
baseline,b-0737,ready_to_use,3
baseline,b-0738,ready_to_use,3
baseline,b-0739,ready_to_use,3
baseline,b-0740,ready_to_use,3
baseline,b-0741,ready_to_use,3
baseline,b-0742,ready_to_use,3
baseline,b-0743,ready_to_use,3
baseline,b-0744,ready_to_use,3
baseline,b-0745,ready_to_use,3
baseline,b-0746,ready_to_use,3
baseline,b-0747,ready_to_use,3
baseline,b-0748,ready_to_use,3
baseline,b-0749,ready_to_use,3
baseline,b-0750,ready_to_use,3
baseline,b-0751,ready_to_use,3
baseline,b-0752,ready_to_use,3
baseline,b-0753,ready_to_use,3
baseline,b-0754,ready_to_use,3
baseline,b-0755,ready_to_use,3
baseline,b-0756,ready_to_use,3
baseline,b-0757,ready_to_use,3
baseline,b-0758,ready_to_use,3
baseline,b-0759,ready_to_use,3
baseline,b-0760,ready_to_use,3
baseline,b-0761,ready_to_use,3
baseline,b-0762,ready_to_use,3
baseline,b-0763,ready_to_use,3
baseline,b-0764,ready_to_use,3
baseline,b-0765,ready_to_use,3
baseline,b-0766,ready_to_use,3
baseline,b-0767,ready_to_use,3
baseline,b-0768,ready_to_use,3
baseline,b-0769,ready_to_use,3
baseline,b-0770,ready_to_use,3
baseline,b-0771,ready_to_use,3
baseline,b-0772,ready_to_use,3
baseline,b-0773,ready_to_use,3
baseline,b-0774,ready_to_use,3
baseline,b-0775,ready_to_use,3
